		 PythonProp_Geometry.txt 

		 Propeller Geometry Table

Date and time: 2026-09-25

Propeller Diameter 	 = 0.1000 m
Number of Blades   	 = 4
Propeller Speed 	 = 9000 RPM
Propeller Hub Diameter 	 = 0.0150 m
Meanline  Type: parabolic
Thickness Type: elliptic
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.1500  0.1600  0.2056  0.0946  0.5329  48.5158  0.0000  0.0000
0.2167  0.1677  0.1851  0.0981  0.6457  43.4861  0.0000  0.0000
0.2830  0.1785  0.1614  0.0954  0.7049  38.4135  0.0000  0.0000
0.3484  0.1917  0.1366  0.0895  0.7441  34.2083  0.0000  0.0000
0.4127  0.2049  0.1141  0.0823  0.7727  30.7973  0.0000  0.0000
0.4753  0.2158  0.0963  0.0756  0.7940  28.0012  0.0000  0.0000
0.5359  0.2245  0.0820  0.0695  0.8098  25.6888  0.0000  0.0000
0.5941  0.2301  0.0704  0.0643  0.8219  23.7652  0.0000  0.0000
0.6496  0.2322  0.0613  0.0601  0.8311  22.1581  0.0000  0.0000
0.7020  0.2310  0.0538  0.0565  0.8383  20.8113  0.0000  0.0000
0.7510  0.2266  0.0474  0.0534  0.8439  19.6807  0.0000  0.0000
0.7963  0.2182  0.0423  0.0510  0.8483  18.7311  0.0000  0.0000
0.8377  0.2063  0.0383  0.0488  0.8518  17.9351  0.0000  0.0000
0.8747  0.1923  0.0352  0.0466  0.8544  17.2709  0.0000  0.0000
0.9074  0.1766  0.0328  0.0439  0.8564  16.7215  0.0000  0.0000
0.9353  0.1558  0.0324  0.0429  0.8577  16.2720  0.0000  0.0000
0.9584  0.1265  0.0319  0.0431  0.8584  15.9126  0.0000  0.0000
0.9765  0.0939  0.0274  0.0437  0.8588  15.6390  0.0000  0.0000
0.9895  0.0613  0.0198  0.0445  0.8590  15.4469  0.0000  0.0000
0.9974  0.0298  0.0105  0.0451  0.8591  15.3331  0.0000  0.0000
1.0000  0.0010  -0.0000  0.0454  0.8592  15.2954  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
